0 0.0572653 0.00803677
0.3 0.126804 0.016251
0.6 0.157942 0.0168666
0.9 0.155438 0.0119129
1.2 0.134449 0.00554285
1.5 0.107177 0.00105353
1.8 0.0807566 0.000145587
2.1 0.0583908 0.00311601
2.4 0.0409102 0.00933507
2.7 0.0279594 0.0177155
3 0.0187282 0.0270678
3.3 0.0123383 0.0363254
3.6 0.0080161 0.0446582
3.9 0.00514654 0.0515077
4.2 0.00327058 0.0565716
4.5 0.00206 0.0597613
4.8 0.00128738 0.0611502
5.1 0.000798987 0.0609213
5.4 0.000492817 0.0593225
5.7 0.00030229 0.056629
6 0.000184496 0.053117
6.3 0.000112093 0.0490443
6.6 6.78215e-05 0.0446392
6.9 4.08801e-05 0.0400948
7.2 2.45548e-05 0.0355674
7.5 1.47014e-05 0.0311778
7.8 8.77532e-06 0.0270146
8.1 5.2232e-06 0.0231385
8.4 3.10035e-06 0.0195868
8.7 1.83539e-06 0.0163777
9 1.0835e-06 0.0135149
9.3 6.37742e-07 0.0109914
9.6 3.7402e-07 0.00879215
9.9 2.18373e-07 0.00689749
10.2 1.26668e-07 0.0052849
10.5 7.2769e-08 0.00393086
10.8 4.1144e-08 0.00281221
11.1 2.2652e-08 0.00190712
11.4 1.1887e-08 0.00119592
11.7 5.69727e-09 0.000661642
12 2.25002e-09 0.000290456
12.3 5.23296e-10 7.2057e-05
