0.0001 9.999e-05
0.0101 0.0099985
0.0301 0.0292075
0.0701 0.0653544
0.132147 0.11579
0.211739 0.171336
0.303085 0.223843
0.401815 0.268863
0.505749 0.305002
0.614085 0.332314
0.726819 0.351389
0.844431 0.362952
0.967753 0.367699
1.09794 0.366241
1.2388 0.358934
1.39429 0.34581
1.56835 0.326837
1.76584 0.302042
1.99355 0.271545
2.26211 0.235549
2.59006 0.194278
3.01633 0.147707
3.53432 0.103062
4.09522 0.0680896
4.69761 0.0426577
5.3639 0.0248247
6.13184 0.0127736
7.06152 0.00486248
8 2.45756e-06
