t theta omega
3.93059 0.205395 3.18733
3.94302 0.244846 3.1636
3.95551 0.284217 3.13742
3.9681 0.323521 3.10876
3.98079 0.362771 3.07761
3.99359 0.401978 3.04391
4.00654 0.441155 3.00762
4.01964 0.480309 2.96871
4.03292 0.51945 2.9271
4.04639 0.558584 2.88275
4.06008 0.597714 2.83557
4.074 0.636844 2.7855
4.08818 0.675971 2.73244
4.10264 0.71509 2.67632
4.11742 0.754191 2.61703
4.13252 0.793255 2.55448
4.14799 0.832256 2.48857
4.16384 0.871158 2.41921
4.1801 0.909909 2.34631
4.1968 0.948443 2.2698
4.21394 0.986669 2.18966
4.23154 1.02448 2.10589
4.2496 1.06172 2.01856
4.26811 1.09824 1.92782
4.28703 1.13383 1.83392
4.30632 1.16828 1.73721
4.32593 1.20137 1.63813
4.34577 1.23287 1.53721
4.36575 1.26257 1.43501
4.38581 1.29032 1.3321
4.40586 1.31599 1.22901
4.42583 1.33951 1.12622
4.44567 1.36084 1.02407
4.46535 1.38 0.922851
4.48485 1.39702 0.822725
4.50415 1.41195 0.723787
4.52327 1.42485 0.626064
4.54222 1.4358 0.529532
4.56101 1.44485 0.43413
4.57966 1.45206 0.339771
4.59819 1.4575 0.246354
4.61664 1.46119 0.153771
4.63502 1.46317 0.0619079
4.65336 1.46347 -0.0293441
4.67169 1.4621 -0.120091
4.69002 1.45907 -0.210431
4.70838 1.45438 -0.300453
4.72678 1.44802 -0.390236
4.74525 1.43998 -0.479845
4.76381 1.43025 -0.56933
4.78246 1.4188 -0.658725
4.80122 1.4056 -0.748043
4.82009 1.39064 -0.837276
4.83909 1.37388 -0.926389
4.85821 1.35532 -1.01532
4.87744 1.33494 -1.10396
4.89679 1.31273 -1.1922
4.91622 1.28871 -1.27984
4.93572 1.2629 -1.36668
4.95526 1.23536 -1.45246
4.97479 1.20616 -1.53691
4.99427 1.17541 -1.6197
5.01366 1.14321 -1.70051
5.03291 1.10973 -1.77902
5.05196 1.07512 -1.85491
5.07076 1.03955 -1.92791
5.08928 1.0032 -1.99778
5.10747 0.966239 -2.06435
5.12533 0.928816 -2.12748
5.14282 0.891076 -2.18709
5.15994 0.853141 -2.24317
5.1767 0.815114 -2.29571
5.19309 0.777079 -2.34477
5.20913 0.739101 -2.39042
5.22483 0.701234 -2.43273
5.24021 0.663513 -2.47179
5.25529 0.625967 -2.50772
5.27009 0.588614 -2.5406
5.28462 0.551466 -2.57053
5.29892 0.514527 -2.59761
5.31299 0.477801 -2.62192
5.32686 0.441286 -2.64355
5.34054 0.404979 -2.66257
5.35406 0.368876 -2.67905
5.36742 0.332969 -2.69304
5.38066 0.297253 -2.70462
5.39377 0.261721 -2.71383
5.40678 0.226365 -2.72071
5.4197 0.191178 -2.7253
5.43255 0.156153 -2.72764
5.44533 0.121283 -2.72776
5.45806 0.0865611 -2.72568
5.47076 0.0519818 -2.72143
5.48343 0.0175386 -2.71502
5.49609 -0.0167739 -2.70647
5.50874 -0.0509607 -2.69578
5.52141 -0.0850265 -2.68296
5.5341 -0.118975 -2.66801
5.54682 -0.15281 -2.65093
5.55958 -0.186534 -2.63172
5.57241 -0.220149 -2.61037
5.5853 -0.253657 -2.58686
5.59828 -0.287058 -2.56118
5.61135 -0.32035 -2.53332
5.62452 -0.353534 -2.50324
5.63782 -0.386605 -2.47092
5.65125 -0.41956 -2.43634
5.66483 -0.452393 -2.39947
5.67857 -0.485094 -2.36025
5.69248 -0.517655 -2.31867
5.70659 -0.550062 -2.27466
5.72091 -0.582298 -2.2282
5.73545 -0.614345 -2.17924
5.75023 -0.646179 -2.12772
5.76527 -0.677769 -2.07361
5.78058 -0.709081 -2.01685
5.79618 -0.740072 -1.95742
5.81207 -0.770693 -1.89527
5.82828 -0.800885 -1.8304
5.8448 -0.830579 -1.7628
5.86165 -0.859694 -1.69249
5.87883 -0.888139 -1.61952
5.89632 -0.915813 -1.54397
5.91412 -0.942602 -1.46597
5.93221 -0.968386 -1.38568
5.95054 -0.993041 -1.30334
5.9691 -1.01644 -1.21919
5.98782 -1.03847 -1.13354
6.00667 -1.05902 -1.04671
6.02559 -1.07799 -0.959036
6.04454 -1.09533 -0.870854
6.06346 -1.11097 -0.782471
6.08233 -1.1249 -0.694161
6.1011 -1.13711 -0.606156
6.11977 -1.14761 -0.518639
6.13831 -1.15642 -0.431746
6.15672 -1.16357 -0.345568
6.175 -1.16911 -0.260159
6.19315 -1.17306 -0.175538
6.2112 -1.17547 -0.0917031
6.22915 -1.17637 -0.00863141
6.24702 -1.17579 0.0737091
6.26483 -1.17375 0.155356
6.28259 -1.17027 0.236345
6.30033 -1.16537 0.31671
6.31806 -1.15904 0.396472
6.33579 -1.15131 0.475643
6.35353 -1.14217 0.554219
6.37129 -1.13164 0.632177
6.38908 -1.1197 0.709477
6.4069 -1.10638 0.786059
6.42474 -1.09168 0.861842
6.44259 -1.07562 0.936724
6.46046 -1.05823 1.01059
6.47831 -1.03953 1.08329
6.49613 -1.01959 1.1547
6.51391 -0.998435 1.22464
6.53162 -0.976141 1.29296
6.54923 -0.952777 1.3595
6.56673 -0.928419 1.4241
6.58409 -0.903151 1.48663
6.6013 -0.877057 1.54695
6.61832 -0.850226 1.60495
6.63515 -0.822744 1.66055
6.65177 -0.794693 1.71367
6.66819 -0.766153 1.76427
6.68438 -0.737198 1.81231
6.70034 -0.707894 1.85778
6.71609 -0.678302 1.90069
6.73161 -0.648476 1.94104
6.74693 -0.618464 1.97885
6.76203 -0.588308 2.01416
6.77693 -0.558043 2.04701
6.79164 -0.527701 2.07743
6.80618 -0.497308 2.10546
6.82054 -0.466885 2.13114
6.83474 -0.436453 2.15452
6.84879 -0.406027 2.17565
6.8627 -0.375621 2.19455
6.87649 -0.345245 2.21127
6.89016 -0.31491 2.22584
6.90373 -0.284624 2.2383
6.9172 -0.254393 2.24868
6.9306 -0.224224 2.25701
6.94391 -0.194121 2.26331
6.95717 -0.164089 2.26761
6.97037 -0.134132 2.26993
6.98353 -0.104253 2.27028
6.99666 -0.0744551 2.26869
7.00977 -0.0447425 2.26517
7.02286 -0.0151178 2.25972
7.03595 0.0144159 2.25236
7.04905 0.0438551 2.24309
7.06216 0.0731965 2.23192
7.0753 0.102436 2.21885
7.08847 0.13157 2.20387
7.10169 0.160594 2.187
7.11497 0.189502 2.16821
7.12831 0.218289 2.14751
7.14172 0.246948 2.12488
7.15522 0.275473 2.10031
7.16882 0.303854 2.0738
7.18252 0.332082 2.04531
7.19635 0.360146 2.01485
7.2103 0.388035 1.98238
7.22439 0.415735 1.94789
7.23864 0.443229 1.91135
7.25305 0.4705 1.87274
7.26764 0.497527 1.83204
7.28242 0.524287 1.78921
7.2974 0.550754 1.74425
7.3126 0.576898 1.69711
7.32801 0.602684 1.64779
7.34366 0.628075 1.59626
7.35956 0.653026 1.54251
7.37571 0.677489 1.48654
7.39212 0.70141 1.42836
7.4088 0.724727 1.36799
7.42574 0.747374 1.30545
7.44295 0.769278 1.24082
7.4604 0.790361 1.17416
7.47811 0.810543 1.10558
7.49604 0.829737 1.03522
7.51417 0.847859 0.963236
7.53249 0.864827 0.889818
7.55094 0.880563 0.81518
7.56951 0.894997 0.739552
7.58815 0.908073 0.663175
7.60683 0.919743 0.58629
7.62552 0.929976 0.509131
7.64417 0.938754 0.431914
7.66277 0.946072 0.354832
7.6813 0.951935 0.278051
7.69975 0.956359 0.201707
7.7181 0.959365 0.125908
7.73635 0.960976 0.0507357
7.7545 0.961221 -0.0237495
7.77256 0.960125 -0.0975038
7.79054 0.957715 -0.170495
