4.4 0.108171 0.413614 -0.205936 0.196842 0.187945
4.45 0.104067 0.416489 -0.205027 0.194318 0.182617
4.5 0.100106 0.419156 -0.203944 0.191589 0.177043
4.55 0.0962837 0.421619 -0.20269 0.188659 0.171232
4.6 0.0925963 0.423883 -0.201268 0.185534 0.165195
4.65 0.0890396 0.425951 -0.199683 0.18222 0.158941
4.7 0.0856096 0.427827 -0.197937 0.178723 0.15248
4.75 0.0823024 0.429515 -0.196035 0.175046 0.145823
4.8 0.0791142 0.431019 -0.19398 0.171197 0.13898
4.85 0.0760412 0.432344 -0.191776 0.167181 0.131961
4.9 0.0730799 0.433493 -0.189426 0.163004 0.124776
4.95 0.0702265 0.434471 -0.186935 0.158671 0.117435
5 0.0674777 0.435281 -0.184306 0.154189 0.10995
5.05 0.06483 0.435928 -0.181543 0.149562 0.10233
5.1 0.0622801 0.436416 -0.17865 0.144797 0.0945857
5.15 0.0598247 0.436749 -0.17563 0.1399 0.0867275
5.2 0.0574607 0.436931 -0.172488 0.134876 0.0787655
5.25 0.055185 0.436965 -0.169227 0.129732 0.0707101
5.3 0.0529946 0.436857 -0.165852 0.124472 0.0625715
5.35 0.0508867 0.436609 -0.162364 0.119103 0.0543598
5.4 0.0488583 0.436227 -0.15877 0.113631 0.0460851
5.45 0.0469068 0.435712 -0.155072 0.108061 0.0377573
5.5 0.0450294 0.435071 -0.151274 0.102399 0.0293865
5.55 0.0432236 0.434305 -0.147379 0.0966505 0.0209823
5.6 0.0414868 0.43342 -0.143393 0.0908215 0.0125545
5.65 0.0398167 0.432419 -0.139317 0.0849173 0.00411266
5.7 0.0382107 0.431305 -0.135156 0.0789437 -0.00433374
5.75 0.0366668 0.430083 -0.130913 0.072906 -0.0127754
5.8 0.0351825 0.428755 -0.126592 0.0668097 -0.021203
5.85 0.0337559 0.427326 -0.122197 0.0606602 -0.0296076
5.9 0.0323847 0.425798 -0.11773 0.0544629 -0.0379802
5.95 0.031067 0.424176 -0.113196 0.048223 -0.0463122
6 0.0298008 0.422462 -0.108598 0.0419458 -0.0545948
6.05 0.0285842 0.42066 -0.103939 0.0356364 -0.0628196
6.1 0.0274154 0.418773 -0.0992219 0.0292999 -0.0709784
6.15 0.0262927 0.416805 -0.0944509 0.0229413 -0.0790631
6.2 0.0252142 0.414759 -0.0896289 0.0165656 -0.0870657
6.25 0.0241784 0.412637 -0.0847591 0.0101776 -0.0949786
6.3 0.0231837 0.410443 -0.0798447 0.0037821 -0.102794
6.35 0.0222285 0.408179 -0.0748886 -0.00261612 -0.110505
6.4 0.0213114 0.405849 -0.069894 -0.00901244 -0.118104
6.45 0.0204308 0.403456 -0.0648639 -0.0154023 -0.125584
6.5 0.0195854 0.401002 -0.0598012 -0.0217813 -0.132939
6.55 0.0187739 0.398491 -0.0547088 -0.0281449 -0.140161
6.6 0.017995 0.395924 -0.0495896 -0.0344889 -0.147245
6.65 0.0172474 0.393304 -0.0444464 -0.0408091 -0.154185
6.7 0.01653 0.390635 -0.0392819 -0.0471013 -0.160974
6.75 0.0158415 0.387918 -0.0340988 -0.0533614 -0.167606
6.8 0.0151808 0.385157 -0.0288997 -0.0595855 -0.174077
6.85 0.0145469 0.382352 -0.0236873 -0.0657698 -0.180381
6.9 0.0139387 0.379508 -0.018464 -0.0719103 -0.186512
6.95 0.0133553 0.376626 -0.0132324 -0.0780036 -0.192466
7 0.0127956 0.373708 -0.00799494 -0.0840458 -0.198239
7.05 0.0122588 0.370757 -0.00275391 -0.0900336 -0.203826
7.1 0.0117438 0.367774 0.00248832 -0.0959634 -0.209222
7.15 0.01125 0.364763 0.00772947 -0.101832 -0.214424
7.2 0.0107764 0.361724 0.0129673 -0.107636 -0.219427
7.25 0.0103222 0.35866 0.0181997 -0.113373 -0.22423
7.3 0.0098867 0.355573 0.0234245 -0.119038 -0.228827
7.35 0.00946914 0.352464 0.0286397 -0.12463 -0.233215
7.4 0.00906878 0.349336 0.0338432 -0.130146 -0.237393
7.45 0.00868496 0.34619 0.0390331 -0.135582 -0.241357
7.5 0.00831701 0.343029 0.0442074 -0.140936 -0.245105
7.55 0.00796429 0.339853 0.0493643 -0.146206 -0.248635
7.6 0.0076262 0.336664 0.054502 -0.151388 -0.251944
7.65 0.00730214 0.333464 0.0596187 -0.156481 -0.25503
7.7 0.00699156 0.330254 0.0647127 -0.161482 -0.257893
7.75 0.0066939 0.327037 0.0697824 -0.166388 -0.26053
7.8 0.00640865 0.323813 0.0748261 -0.171198 -0.26294
7.85 0.0061353 0.320583 0.0798422 -0.17591 -0.265123
7.9 0.00587337 0.31735 0.0848293 -0.180521 -0.267078
7.95 0.0056224 0.314114 0.0897859 -0.18503 -0.268803
8 0.00538194 0.310877 0.0947105 -0.189435 -0.270299
8.05 0.00515157 0.30764 0.0996017 -0.193734 -0.271566
8.1 0.00493086 0.304404 0.104458 -0.197925 -0.272602
8.15 0.00471943 0.30117 0.109279 -0.202008 -0.273409
8.2 0.0045169 0.29794 0.114062 -0.205979 -0.273987
8.25 0.00432289 0.294715 0.118807 -0.209839 -0.274337
8.3 0.00413707 0.291494 0.123513 -0.213585 -0.274458
8.35 0.00395909 0.288281 0.128177 -0.217217 -0.274352
8.4 0.00378863 0.285075 0.1328 -0.220733 -0.274021
8.45 0.00362539 0.281877 0.13738 -0.224132 -0.273465
8.5 0.00346905 0.278689 0.141917 -0.227414 -0.272685
8.55 0.00331935 0.275511 0.146408 -0.230576 -0.271684
8.6 0.00317599 0.272344 0.150854 -0.233619 -0.270463
8.65 0.00303872 0.269189 0.155254 -0.236542 -0.269024
8.7 0.00290729 0.266046 0.159606 -0.239343 -0.267369
8.75 0.00278145 0.262917 0.163909 -0.242023 -0.265501
8.8 0.00266097 0.259802 0.168164 -0.24458 -0.263421
8.85 0.00254563 0.256702 0.17237 -0.247015 -0.261132
8.9 0.00243521 0.253617 0.176525 -0.249326 -0.258637
8.95 0.00232951 0.250548 0.180629 -0.251514 -0.255938
9 0.00222832 0.247496 0.184681 -0.253578 -0.253039
9.05 0.00213146 0.24446 0.188681 -0.255517 -0.249943
9.1 0.00203876 0.241443 0.192628 -0.257333 -0.246652
9.15 0.00195002 0.238444 0.196523 -0.259024 -0.24317
9.2 0.00186509 0.235463 0.200363 -0.26059 -0.239501
