0 0 1e-09
0.02 3.08183e-10 1.02319e-07
0.04 1.45068e-10 1.38211e-07
0.06 3.93282e-10 1.30482e-07
0.08 1.59094e-10 9.60585e-08
0.1 1.82637e-11 4.96222e-08
0.2 2.10438e-10 1.31142e-07
0.3 4.59019e-10 7.6271e-08
0.4 4.66028e-11 6.84673e-08
0.5 1.87124e-10 1.38305e-07
0.6 1.52125e-10 9.38494e-08
0.7 1.62191e-10 1.21439e-08
0.8 2.90824e-10 1.05258e-07
0.9 4.24684e-10 1.37086e-07
1 4.81153e-11 1.03252e-07
1.1 6.23083e-09 2.67964e-08
1.2 3.12556e-09 5.75062e-08
1.3 1.63831e-09 1.17439e-07
1.4 4.44049e-10 1.38269e-07
1.5 7.78e-10 1.20403e-07
1.6 4.89936e-10 7.28063e-08
1.7 1.75606e-10 1.12076e-08
1.8 4.71498e-10 4.81885e-08
1.9 7.05552e-10 9.50234e-08
2 2.50793e-10 1.25419e-07
2.1 8.1969e-10 1.37559e-07
2.2 2.00632e-10 1.35789e-07
2.3 3.30406e-09 1.22238e-07
2.4 1.43264e-09 1.03882e-07
2.5 6.35539e-10 8.34634e-08
3 1.06479e-08 1.51489e-08
3.5 8.61196e-11 1.21714e-09
